user_id,meal_id,interaction
1231,117,1
619,287,1
823,419,1
316,376,1
1197,26,1
737,64,1
105,152,1
1305,315,1
100,437,1
773,94,1
743,318,1
435,343,1
1665,326,1
872,184,1
1135,105,1
137,451,1
1,47,1
1319,373,1
920,360,1
1519,316,1
406,427,1
202,453,1
1404,153,1
865,383,1
386,360,1
570,114,1
988,396,1
1240,350,1
320,423,1
713,126,1
530,35,1
1305,424,1
236,339,1
553,436,1
1266,351,1
544,426,1
137,66,1
124,324,1
904,77,1
1386,149,1
420,350,1
657,296,1
1269,38,1
1683,163,1
1155,91,1
1410,335,1
445,347,1
1408,68,1
1415,57,1
917,334,1
1664,173,1
1634,331,1
470,114,1
1367,92,1
1090,153,1
1483,317,1
145,442,1
893,284,1
654,124,1
507,173,1
1492,323,1
1061,285,1
629,410,1
1296,83,1
697,293,1
1455,18,1
493,63,1
1529,361,1
1118,172,1
900,444,1
917,321,1
721,170,1
190,59,1
1236,80,1
812,339,1
762,415,1
413,62,1
1132,376,1
881,448,1
1116,365,1
613,360,1
1139,51,1
506,313,1
1183,449,1
958,367,1
667,449,1
650,116,1
644,336,1
1273,387,1
885,193,1
129,176,1
290,321,1
1152,381,1
802,14,1
275,420,1
395,421,1
1357,367,1
73,307,1
168,330,1
419,65,1
1089,28,1
569,124,1
1443,422,1
324,74,1
1308,386,1
1484,57,1
1491,367,1
497,386,1
625,66,1
273,329,1
1365,153,1
1341,63,1
1347,54,1
690,113,1
47,365,1
1670,170,1
868,352,1
725,283,1
370,126,1
1211,339,1
1673,18,1
1236,375,1
1142,21,1
212,321,1
1590,114,1
926,191,1
308,339,1
798,415,1
1204,147,1
806,394,1
810,327,1
766,373,1
819,24,1
675,393,1
282,369,1
968,391,1
1164,372,1
1531,385,1
448,200,1
201,113,1
701,93,1
1432,22,1
512,282,1
313,163,1
1580,373,1
925,76,1
1186,145,1
209,13,1
629,177,1
1264,187,1
1042,91,1
255,372,1
1090,27,1
620,130,1
1112,40,1
1675,322,1
1058,428,1
1504,448,1
463,425,1
715,347,1
447,364,1
665,54,1
373,292,1
282,363,1
157,384,1
279,111,1
1218,282,1
1118,164,1
1239,399,1
851,125,1
951,318,1
1176,434,1
991,449,1
1534,34,1
472,21,1
1200,329,1
862,78,1
695,350,1
1537,19,1
128,157,1
1511,131,1
1545,316,1
294,415,1
466,28,1
355,307,1
1161,404,1
87,89,1
408,152,1
944,87,1
1686,163,1
878,371,1
218,125,1
301,37,1
1266,190,1
955,384,1
564,436,1
475,294,1
1183,453,1
483,359,1
665,330,1
920,70,1
613,298,1
505,429,1
153,52,1
1266,407,1
981,101,1
1246,382,1
592,191,1
1101,129,1
315,140,1
810,133,1
153,165,1
360,452,1
927,148,1
707,34,1
190,361,1
1381,302,1
472,401,1
1100,14,1
907,41,1
1050,12,1
1429,313,1
1583,100,1
623,31,1
721,404,1
590,21,1
436,177,1
2,84,1
219,401,1
823,111,1
1604,364,1
1129,327,1
1246,55,1
291,38,1
605,64,1
1238,92,1
405,170,1
740,160,1
1160,445,1
1240,126,1
285,177,1
1459,194,1
618,406,1
500,117,1
784,408,1
173,373,1
1344,350,1
919,133,1
1329,198,1
713,367,1
850,317,1
1419,152,1
820,334,1
158,12,1
380,434,1
1544,162,1
1036,48,1
188,18,1
1480,116,1
413,391,1
1176,377,1
785,176,1
1691,451,1
956,428,1
673,96,1
1137,32,1
1019,163,1
1457,100,1
184,131,1
1074,22,1
1036,434,1
443,342,1
815,385,1
683,38,1
185,342,1
1552,309,1
74,159,1
1201,454,1
1494,403,1
1094,89,1
1236,162,1
26,23,1
282,364,1
1192,416,1
1025,322,1
1029,144,1
914,142,1
1437,13,1
53,116,1
1348,61,1
1244,368,1
882,146,1
250,59,1
50,420,1
1024,83,1
378,448,1
1266,81,1
1046,46,1
852,395,1
1078,333,1
1499,371,1
1010,134,1
1201,287,1
1565,126,1
1277,29,1
14,450,1
896,195,1
111,441,1
939,133,1
64,420,1
271,339,1
1455,79,1
985,414,1
524,94,1
1179,32,1
549,436,1
1303,123,1
1693,425,1
1167,155,1
1066,410,1
1408,142,1
185,341,1
438,448,1
247,334,1
1387,437,1
570,443,1
747,12,1
91,442,1
533,149,1
715,416,1
1568,181,1
752,51,1
995,458,1
105,102,1
764,164,1
480,340,1
776,185,1
141,441,1
1613,92,1
708,319,1
939,327,1
24,299,1
340,457,1
1616,81,1
1628,16,1
22,72,1
1441,408,1
445,371,1
400,181,1
1185,67,1
942,94,1
1209,77,1
918,389,1
1560,125,1
1484,125,1
1167,91,1
269,366,1
616,348,1
